feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,approximate_fold_change,direction
Hylemonella,treatment,High,-0.463623828767625,0.548534647520625,121,64,0.410042663795759,0.931122738567876,0.6290001217203628,Lower than Control
Cryptobacteroides,treatment,Low,1.47802095560664,1.7610654336011,121,67,0.413505797887469,0.931122738567876,4.384260443468568,Higher than Control
Desulfovibrio.2,treatment,Low,-0.999946979229733,1.20381780887771,121,47,0.417505458174753,0.931122738567876,0.3678989469398795,Lower than Control
Tardiphaga,treatment,Low,-0.387879407840256,0.466473574034712,121,16,0.418149728360998,0.931122738567876,0.6784941594068689,Lower than Control
UBA3282,treatment,Low,1.23613184978078,1.49560220876164,121,62,0.419335417723831,0.931122738567876,3.4422724519369248,Higher than Control
CAG.485,treatment,Low,1.01353226815404,1.25399317181254,121,55,0.431381329838395,0.935737159959968,2.755316362550846,Higher than Control
Ralstonia,treatment,High,0.980517669713518,1.23415680034172,121,97,0.437319623779517,0.935737159959968,2.6658359073035367,Higher than Control
HGM12619,treatment,Low,0.288232864345009,0.358463425975904,121,15,0.437602073571163,0.935737159959968,1.3340679248092477,Higher than Control
Aquabacterium,treatment,Low,-0.512618562132082,0.645528298592838,121,20,0.437902215775696,0.935737159959968,0.5989252007926359,Lower than Control
Muribaculum,treatment,High,0.684764825606174,0.884401904507285,121,49,0.449451784684743,0.946673781279815,1.9833053580521782,Higher than Control
Fimbriiglobus,treatment,Low,0.941717506311753,1.21996276396589,121,30,0.451158850823999,0.946673781279815,2.5643819804881223,Higher than Control
Methylophaga,treatment,High,0.625045776074142,0.825105625784261,121,34,0.459202139296213,0.946673781279815,1.8683314803551223,Higher than Control
UBA7173,treatment,Low,-0.231455536938603,0.311948607460645,121,14,0.459594268437306,0.946673781279815,0.7933779707323197,Lower than Control
Turicibacter,treatment,Low,-0.315448585995402,0.416370299378974,121,16,0.461435109174395,0.946673781279815,0.7294615746169681,Lower than Control
Acinetobacter,treatment,High,0.713871411584269,0.953785923142476,121,121,0.464015434265402,0.946673781279815,2.0418809382121164,Higher than Control
Erythrobacter,treatment,Low,0.303375561325561,0.411758365034753,121,16,0.472631908232082,0.946673781279815,1.354423037847524,Higher than Control
Qipengyuania,treatment,Low,0.338635506456185,0.454527462428274,121,16,0.475817407062566,0.946673781279815,1.4030318559478618,Higher than Control
Cryptobacteroides,treatment,High,1.1805127834967999,1.61890893205474,121,67,0.476614966750473,0.946673781279815,3.256043420210295,Higher than Control
HGM12619,treatment,High,0.237223973590952,0.327209535679791,121,15,0.482502870881914,0.946673781279815,1.267725022906191,Higher than Control
Anaerobacillus,treatment,High,0.288329643293264,0.402876479518341,121,13,0.483407888313097,0.946673781279815,1.334197040747663,Higher than Control
Streptococcus,treatment,High,0.144833839416303,0.206345440450277,121,14,0.493114890770102,0.947302445541025,1.1558474980161098,Higher than Control
Pseudomonas_E,treatment,High,0.320327372273689,0.458532911688001,121,121,0.493524853073227,0.947302445541025,1.3775786715865668,Higher than Control
Eubacterium_R,treatment,Low,-0.359185308872978,0.513757027421285,121,20,0.493806593952236,0.947302445541025,0.6982449483777378,Lower than Control
Limnohabitans,treatment,Low,-0.287383022223767,0.429998152560908,121,16,0.51244646112486,0.961206260615744,0.7502243212109934,Lower than Control
Sphingomonas,treatment,Low,0.886183930154841,1.33352877926523,121,96,0.514972843905347,0.961206260615744,2.4258547345789325,Higher than Control
Thiomicrorhabdus,treatment,High,0.632322500065169,0.955760222989503,121,37,0.517972918003741,0.961206260615744,1.8819763978015276,Higher than Control
Streptomyces,treatment,Low,-0.217653386369359,0.329713978998452,121,14,0.51809699153756394,0.961206260615744,0.8044042108151889,Lower than Control
Novosphingobium,treatment,High,0.72215484358128,1.11702217476642,121,103,0.526608713619686,0.965401486182199,2.0588649660159715,Higher than Control
Prevotella,treatment,High,0.324706363281751,0.501869761617493,121,28,0.527205066922194,0.965401486182199,1.3836243034253766,Higher than Control
Bosea,treatment,High,0.232650179022644,0.364927441775503,121,14,0.534016434515692,0.971565384086615,1.2619399490371486,Higher than Control
Cutibacterium,treatment,High,0.570599758328061,0.92513953276833,121,38,0.54527248729464906,0.971804922352164,1.769327902419375,Higher than Control
Pelagibacter,treatment,High,0.23882261798204,0.3918507520868,121,13,0.550994458781072,0.971804922352164,1.269753285206614,Higher than Control
Neglecta,treatment,Low,-0.157234972340491,0.268991526323923,121,13,0.559985862577585,0.971804922352164,0.8545032505976702,Lower than Control
Streptomyces,treatment,High,-0.176861788193749,0.300841576608571,121,14,0.564527356183004,0.971804922352164,0.8378955835824676,Lower than Control
COE1,treatment,Low,-0.318425519075484,0.543858385134237,121,26,0.566601814481589,0.971804922352164,0.7272932454116465,Lower than Control
Massilia,treatment,High,0.933310794121528,1.62899966752571,121,95,0.574137258837107,0.971804922352164,2.542914321877525,Higher than Control
Nereida,treatment,Low,0.406201569226078,0.72128515267735,121,26,0.580355586120746,0.971804922352164,1.501105098557982,Higher than Control
Methylobacterium,treatment,High,0.651860767971221,1.1645613674214,121,76,0.582893558730368,0.971804922352164,1.9191085243332657,Higher than Control
Ileibacterium,treatment,High,-0.191171735193981,0.342338994903463,121,27,0.583997997837977,0.971804922352164,0.825990724292771,Lower than Control
Limnohabitans,treatment,High,0.21853666790211,0.393200096139307,121,16,0.585440050955663,0.971804922352164,1.2442546399980439,Higher than Control
Tardiphaga,treatment,High,0.230603450565999,0.425497943703028,121,16,0.595366252173575,0.971804922352164,1.259359742025163,Higher than Control
