feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Halomonas	treatment	High	1.14449693976765	0.727209931119885	121	52	0.134430633344971	0.642532857682741
Sphingomonas	log_reads	log_reads	0.450764912872466	0.297966456479245	121	96	0.133087815901713	0.642532857682741
Undibacterium	log_reads	log_reads	0.342702868867644	0.235891977063852	121	43	0.14895937128873	0.666692274609286
Ralstonia	log_reads	log_reads	0.482033357486514	0.32881906799349	121	97	0.145366601680116	0.666692274609286
Methylobacterium.Methylorubrum	treatment	High	1.13101244294733	0.738321285570993	121	59	0.146318028052239	0.666692274609286
Rikenella	log_reads	log_reads	-0.39286698195126	0.269186944985857	121	34	0.147173662196655	0.666692274609286
Odoribacter	log_reads	log_reads	-0.483673160906025	0.336764287355244	121	60	0.153670205140438	0.666692274609286
COE1	log_reads	log_reads	-0.324458183562989	0.225122368769784	121	26	0.152912990217633	0.666692274609286
Moraxella_A	treatment	High	-0.59261802799707	0.401355026814951	121	23	0.156498053891229	0.668673502989799
Aquincola	treatment	High	-0.680599170089846	0.46545174060149	121	27	0.162757161131182	0.685037603567063
Aquincola	log_reads	log_reads	0.250086798905209	0.17947793455205	121	27	0.1663092546174	0.685727171026808
Herbaspirillum.1	treatment	High	0.543464196997674	0.395190272999916	121	19	0.171698124559133	0.685727171026808
Pelagibacter	treatment	Low	0.612750175478272	0.429161549025959	121	13	0.172647621074126	0.685727171026808
Fimbriiglobus	log_reads	log_reads	0.378018858096485	0.274251189918814	121	30	0.170782577079209	0.685727171026808
Pseudomonas	log_reads	log_reads	0.160679686220957	0.120843823654473	121	121	0.186269231898777	0.719560594458291
CAG.485	treatment	High	1.60104682380353	1.14805212677197	121	55	0.18379443672797	0.719560594458291
Halomonas	treatment	Low	1.06167341863693	0.795822223563603	121	52	0.199756319750422	0.73112678500596
Tardiphaga	log_reads	log_reads	0.253884099374603	0.194346453654266	121	16	0.194720475833343	0.73112678500596
Mucispirillum	treatment	High	0.359531323588854	0.27691282017018	121	22	0.196718560959379	0.73112678500596
Pelethomonas	log_reads	log_reads	-0.175037074460756	0.136253635015317	121	13	0.20222655755484	0.73112678500596
Staphylococcus	treatment	High	0.41792895260421	0.32294681449707	121	17	0.19817576467952	0.73112678500596
Limnohabitans	log_reads	log_reads	-0.171728328106138	0.13659047845065	121	16	0.211206391534513	0.753926612819402
Bifidobacterium.1	log_reads	log_reads	-0.302768758284339	0.242642723281706	121	31	0.214661867707808	0.756683083670023
HIMB11	treatment	High	0.437060769282406	0.354347860681502	121	24	0.219890227995296	0.765543756724364
Microbacterium	log_reads	log_reads	0.182044194276377	0.15084543660715	121	15	0.231119828635749	0.766774019709189
VGCI01	log_reads	log_reads	0.166781800551534	0.138112506473777	121	14	0.229821511088329	0.766774019709189
Desulfovibrio.2	log_reads	log_reads	-0.379336759370752	0.311701244185627	121	47	0.226065798948708	0.766774019709189
Eubacterium_R	log_reads	log_reads	-0.211902187086462	0.17292756999608	121	20	0.22298555333255	0.766774019709189
Dysosmobacter	log_reads	log_reads	-0.165411530605644	0.14330797052092	121	16	0.251358011774096	0.824220457212733
Methylophaga	log_reads	log_reads	-0.287639863419806	0.256456891015657	121	34	0.264333785000156	0.825872438844911
Acidovorax	treatment	High	0.662045223172909	0.568374907217082	121	27	0.260091314935424	0.825872438844911
Aquabacterium	log_reads	log_reads	0.223039898762303	0.201062938734185	121	20	0.269599998402403	0.825872438844911
Neisseria	treatment	Low	0.476933679439654	0.408938822846258	121	18	0.25873856260239	0.825872438844911
Niallia	log_reads	log_reads	0.193160103222131	0.173507853016945	121	14	0.267876879965393	0.825872438844911
Rossellomorea	log_reads	log_reads	0.239743728291675	0.215664841037129	121	22	0.268567934541982	0.825872438844911
Duncaniella	treatment	High	1.25211626467016	1.10367071714642	121	59	0.272362187278641	0.825872438844911
Priestia	treatment	Low	1.24842585348629	1.13545876350227	121	62	0.289447878982611	0.868343636947832
Herbaspirillum	treatment	Low	-0.808900020941192	0.784085578067682	121	39	0.316607438927355	0.901851492702163
Bacteroides	treatment	High	0.705620722515443	0.676816697491189	121	29	0.312866965045492	0.901851492702163
Eubacterium_R	treatment	High	-0.490993988164686	0.469312184043112	121	20	0.310306844040999	0.901851492702163
Lactobacillus	treatment	Low	2.12316400055765	2.03446750764484	121	82	0.310724228298053	0.901851492702163
Paramuribaculum	treatment	High	1.05188907098315	1.01508611374072	121	54	0.315102367230648	0.901851492702163
Acidibacter	treatment	High	0.720090594101108	0.700710019225433	121	25	0.322229157793053	0.90868622497641
Acidibacter	treatment	Low	0.750340437516392	0.764675041121646	121	25	0.343202327101174	0.931122738567876
Hylemonella	treatment	High	-0.463623828767625	0.548534647520625	121	64	0.410042663795759	0.931122738567876
Acidovorax	log_reads	log_reads	-0.200663502307525	0.218904326383032	121	27	0.361314781224599	0.931122738567876
Pelomonas	treatment	High	0.992506355762584	1.02504117120755	121	68	0.346885419838693	0.931122738567876
Aquincola	treatment	Low	-0.499777239012948	0.509877315603793	121	27	0.34107226747697	0.931122738567876
Undibacterium	treatment	Low	0.719126561372358	0.819531910111781	121	43	0.391306741838707	0.931122738567876
Undibacterium	treatment	High	0.702591825779433	0.750838757435334	121	43	0.361670285539267	0.931122738567876
Brevundimonas	treatment	High	-0.251745754995288	0.278529702207049	121	13	0.367938484461699	0.931122738567876
Brevundimonas	log_reads	log_reads	-0.11227559100938	0.136899052699687	121	13	0.413807328211794	0.931122738567876
Tardiphaga	treatment	Low	-0.387879407840256	0.466473574034712	121	16	0.418149728360998	0.931122738567876
Erythrobacter	treatment	High	0.373556990638326	0.375831364906599	121	16	0.336340270599284	0.931122738567876
Qipengyuania	log_reads	log_reads	0.121739571422438	0.147051673631208	121	16	0.409509236450221	0.931122738567876
Odoribacter	treatment	Low	1.29970650538389	1.51791688517432	121	60	0.403732209770482	0.931122738567876
Bacteroides	treatment	Low	0.687024968350336	0.741915167238418	121	29	0.368214835657525	0.931122738567876
Bacteroides	log_reads	log_reads	-0.230480630505019	0.277115327891363	121	29	0.407467778629516	0.931122738567876
Cryptobacteroides	treatment	Low	1.47802095560664	1.7610654336011	121	67	0.413505797887469	0.931122738567876
Desulfovibrio.2	treatment	Low	-0.999946979229733	1.20381780887771	121	47	0.417505458174753	0.931122738567876
Neglecta	treatment	High	-0.207668714879243	0.245687039466528	121	13	0.399692540150643	0.931122738567876
UBA3282	treatment	Low	1.23613184978078	1.49560220876164	121	62	0.419335417723831	0.931122738567876
Lachnospiraceae.NK4A136.group	treatment	Low	1.58484425821621	1.84073598455668	121	73	0.401172493894749	0.931122738567876
Gemella	treatment	Low	-0.44327051091264	0.461515928457982	121	18	0.350200325605557	0.931122738567876
Ligilactobacillus	treatment	Low	-0.698281098955862	0.751079543832782	121	31	0.365167312277035	0.931122738567876
Lactobacillus	treatment	High	1.72790100994771	1.87770841530754	121	82	0.370155026574078	0.931122738567876
Clostridium	log_reads	log_reads	-0.219283088749398	0.257111302944798	121	32	0.395582941820699	0.931122738567876
Priestia	treatment	High	0.892546111035813	1.03717205710642	121	62	0.403828227857065	0.931122738567876
Priestia	log_reads	log_reads	0.33953072806651	0.383516670153904	121	62	0.377893001647537	0.931122738567876
