feature,treatment,n_samples,n_detected,prevalence_percent,median_count_when_present
UBA7173,High,50,8,16,33.5
Undibacterium,Control,38,11,28.947368421052634,15
Undibacterium,Low,33,15,45.45454545454545,12
Undibacterium,High,50,17,34,22
VGCI01,Control,38,5,13.157894736842104,13
VGCI01,Low,33,5,15.151515151515152,12
VGCI01,High,50,4,8,15.5
Variovorax,Control,38,7,18.421052631578945,82
Variovorax,Low,33,6,18.181818181818183,36.5
Variovorax,High,50,12,24,49
Vibrio,Control,38,3,7.894736842105263,64
Vibrio,Low,33,4,12.121212121212121,19
Vibrio,High,50,6,12,98
ZC4RG30,Control,38,10,26.31578947368421,30.5
ZC4RG30,Low,33,6,18.181818181818183,71
ZC4RG30,High,50,13,26,27
